Wetlands name,State,ID,Species,Species normalized,Area,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Bulloo Lake,QLD,364,14,0.016821464,832.27,-28.86194444,142.3252778,7.47E-21,8.15373,0.214687,1.32E-08,1.00E+31,1.00E+31,1.379081009,0.259734188,831.5450315,0.494722798
Cooper Creek Overflow Swamps - Windorah,QLD,365,115,0.092108319,1248.53,-25.58305556,142.4166667,-4.55E-13,7.93648,0.247365,2.00E-09,1.00E+31,1.00E+31,1.373683919,0.264790262,755.4321551,0.412983599
Cooper Creek Swamps - Nappa Merrie,QLD,366,46,0.043269276,1063.11,-27.6,141.5830556,3.54E-08,8.6105,0.291963,101.894,1.00E+31,1.00E+31,1.379955604,0.248741375,644.5832702,0.420611827
Cooper Creek - Wilson River Junction,QLD,367,15,0.023464998,639.25,-27.83305556,142,1.02E-05,3.5406,0.210519,0.0702762,1.00E+31,1.00E+31,1.455988752,0.336465054,886.2383714,0.545845821
Diamantina Lakes Area,QLD,368,19,4.834605598,3.93,-23.68833333,141.1108333,-2.79E-10,10.8209,0.290922,5.31534,1.00E+31,1.00E+31,1.352749333,0.229644363,642.3891318,0.391873844
Diamantina Overflow Swamp - Durrie Station,QLD,369,5,0.017125634,291.96,-25.63305556,140.3997222,-8.45E-11,3.63083,0.197995,0.00173372,1.00E+31,1.00E+31,1.44041644,0.267461979,644.3924205,0.457421658
Georgina River - King Creek Floodout,QLD,370,18,0.013010763,1383.47,-24.25,139.6666667,-3.07E-11,8.55277,0.216745,1.07E-07,1.00E+31,1.00E+31,1.401854165,0.222079466,694.4582753,0.382450301
Lake Bullawarra,QLD,371,14,1.087801088,12.87,-27.90388889,143.5908333,5.09E-07,6.59384,0.280472,0.0223287,1.00E+31,1.00E+31,1.411095034,0.313165406,868.3054763,0.476543704
Lake Constance,QLD,372,7,0.380228137,18.41,-23.86472222,140.99,-1.48E-14,7.79405,0.258207,3.45E-08,1.00E+31,1.00E+31,1.381180369,0.238212295,708.4752687,0.411153156
Lake Cuddapan,QLD,373,4,0.234741784,17.04,-25.72555556,141.445,-8.92E-15,17.937,0.217791,1.15E-07,1.00E+31,1.00E+31,1.37375477,0.318478137,738.7688527,0.456235326
Lake Mipia Area,QLD,374,115,0.165014134,696.91,-24.87444444,139.605,2.05E-06,7.87313,0.204139,0.0327848,1.00E+31,1.00E+31,1.475345824,0.303889682,655.1314555,0.515485051
Lake Phillipi,QLD,375,9,0.055949273,160.86,-24.35555556,138.9863889,6.33E-16,5.3122,0.19903,3.00E-09,1.00E+31,1.00E+31,1.416647175,0.206425297,380.1547172,0.470278306
Lake Torquinie Area,QLD,376,14,0.091851463,152.42,-24.5,138.7166667,-4.21E-10,6.31471,0.212989,4.32906,1.00E+31,1.00E+31,1.348266444,0.182158686,359.3366473,0.340908647
Lake Yamma Yamma,QLD,377,14,0.016175995,865.48,-26.33305556,141.4330556,1.67E-05,3.55496,0.213076,0.219935,1.00E+31,1.00E+31,1.422453203,0.305424202,744.7629992,0.502197072
Moonda Lake - Shallow Lake Aggregation,QLD,378,10,0.067851812,147.38,-25.79444444,140.2888889,1.03E-14,12.8224,0.19799,0,1.00E+31,1.00E+31,1.434083701,0.339014124,719.4620082,0.474018204
Mulligan River - Wheeler Creek Junction,QLD,379,198,1.163747502,170.14,-23.91444444,138.6333333,-8.75E-13,9.71888,0.232535,4.70277,159.678,0.0273032,1.260012048,0.18259337,360.5279999,0.349689115
Muncoonie Lakes Area,QLD,380,96,0.108148298,887.67,-25,138.6777778,2.85E-12,9.98356,0.170745,6.01E-10,1.00E+31,1.00E+31,1.292719383,0.184361416,261.6626377,0.333247767
Nooyeah Downs Swamps Aggregation,QLD,381,2,0.032046146,62.41,-28,143.5,-4.40E-10,4.0184,0.328839,23.1636,1.00E+31,1.00E+31,1.436839924,0.288362761,880.8495568,0.498245411
Toko Gorge and Waterhole,QLD,382,25,10.28806584,2.43,-22.775,138.0261111,4.23E-06,52.2264,0.229925,0.146943,1.00E+31,1.00E+31,1.296024098,0.191758957,500.537871,0.365257752
Corio Bay Wetlands,QLD,383,182,2.634245187,69.09,-22.95861111,150.7530556,1.00E+31,1.44619,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Dismal Swamp—Water Park Creek,QLD,384,228,22.8,10,-22.75916667,150.6811111,0.000878537,36.2916,0.872519,4.18061,1.00E+31,1.00E+31,0.846830578,0.094551817,95.55037158,0.246559857
Eungella Dam,QLD,385,15,1.882057716,7.97,-21.16888889,148.4016667,5.73E-05,81.2957,0.808286,2.29519,64.0048,0.00104815,1.049402782,0.114887137,218.1946312,0.315940722
Proserpine—Goorganga Plain,QLD,386,197,1.169070085,168.51,-20.49611111,148.6680556,0.00187666,50.8542,0.861524,40.9789,232.91,0.522234,0.913235781,0.116098801,183.3758993,0.287635628
Archer Bay Aggregation,QLD,387,270,0.902677945,299.11,-13.34722222,141.6886111,0.00243777,4.67736,0.911488,11.5095,1.00E+31,1.00E+31,1.126006217,0.160090073,129.2524765,0.277470474
